PI_time,PI_timer,PI_list[],Td,Tr,Tf,PI_Offset_temp,PI_average_offset,PI_Result,PI_offset_sum,PI_P_value,PI_I_value,cStopUp,cStopDown,time,
0,500,20,250.000000,223.000000,284.000000,20,20,-37.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,284.000000,20,20,-38.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.500000,285.000000,20,20,-38.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,284.000000,20,20,-40.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,283.000000,20,20,-40.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,284.000000,20,20,-41.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,283.000000,20,20,-42.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,282.000000,20,20,-43.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,282.000000,20,20,-44.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,281.000000,20,20,-45.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,281.000000,20,20,-45.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,279.000000,20,20,-48.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,278.000000,20,20,-49.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,277.000000,20,20,-50.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,276.000000,20,20,-52.000000,800,60,40,0,0,0,
0,500,20,250.000000,223.000000,276.000000,20,20,-53.000000,800,60,40,0,0,0,
0,500,20,250.000000,223.000000,276.000000,20,20,-54.000000,800,60,40,0,0,0,
0,500,20,250.000000,223.000000,276.000000,20,20,-55.000000,800,60,40,0,0,0,
0,500,20,250.000000,223.000000,276.000000,20,20,-56.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.000000,276.000000,20,20,-57.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.500000,276.000000,20,20,-58.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.000000,276.000000,20,20,-60.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.000000,274.000000,20,20,-62.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.000000,273.000000,20,20,-63.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.000000,272.000000,20,20,-65.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.000000,270.000000,20,20,-68.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.000000,267.000000,20,20,-69.000000,800,60,40,0,0,0,
0,500,20,250.000000,221.500000,265.000000,20,20,-72.000000,800,60,40,1,0,0,
0,500,20,250.000000,221.500000,262.000000,20,19,-73.000000,780,60,39,1,0,0,
0,500,20,250.000000,221.500000,259.000000,20,17,-73.000000,700,60,35,1,0,0,
0,500,20,250.000000,221.000000,252.000000,20,13,-67.000000,500,60,25,1,0,0,
0,500,20,250.000000,221.500000,241.000000,20,7,-56.000000,180,60,9,1,0,0,
0,500,20,250.000000,221.000000,239.000000,20,5,-56.000000,120,60,6,1,0,0,
0,500,20,250.000000,221.000000,239.000000,20,5,-57.000000,120,60,6,1,0,0,
0,500,20,250.000000,221.000000,239.000000,20,5,-58.000000,120,60,6,1,0,0,
0,500,20,250.000000,221.000000,240.000000,20,6,-60.000000,140,60,7,1,0,0,
0,500,20,250.000000,221.000000,240.000000,20,6,-61.000000,140,60,7,1,0,0,
0,500,20,250.000000,221.000000,241.000000,20,7,-63.000000,180,60,9,1,0,0,
0,500,20,250.000000,221.500000,241.000000,20,7,-64.000000,180,60,9,1,0,0,
0,500,20,250.000000,221.000000,241.000000,20,7,-65.000000,180,60,9,1,0,0,
0,500,20,250.000000,220.500000,242.000000,20,7,-67.000000,200,60,10,1,0,0,
0,500,20,250.000000,221.000000,243.000000,20,7,-70.000000,220,60,11,1,0,0,
0,500,20,250.000000,220.500000,244.000000,20,8,-72.000000,260,60,13,1,0,0,
0,500,20,250.000000,221.000000,244.000000,20,8,-72.000000,260,60,13,1,0,0,
0,500,20,250.000000,220.500000,245.000000,20,9,-75.000000,280,60,14,1,0,0,
0,500,20,250.000000,220.500000,246.000000,20,10,-76.000000,320,60,16,1,0,0,
0,500,20,250.000000,220.500000,246.000000,20,10,-77.000000,320,60,16,1,0,0,
0,500,20,250.000000,221.000000,248.000000,20,11,-80.000000,380,60,19,1,0,0,
0,500,20,250.000000,220.500000,249.000000,20,11,-83.000000,400,60,20,1,0,0,
0,500,20,250.000000,220.500000,250.000000,20,12,-84.000000,440,60,22,1,0,0,
0,500,20,250.000000,220.500000,251.000000,20,12,-86.000000,460,60,23,1,0,0,
0,500,20,250.000000,221.000000,252.000000,20,13,-88.000000,500,60,25,1,0,0,
0,500,20,250.000000,220.500000,254.000000,20,15,-91.000000,560,60,28,1,0,0,
0,500,20,250.000000,221.000000,256.000000,20,16,-94.000000,620,60,31,1,0,0,
0,500,20,250.000000,221.000000,257.000000,20,16,-96.000000,640,60,32,1,0,0,
0,500,20,250.000000,221.500000,259.000000,20,17,-99.000000,700,60,35,1,0,0,
0,500,20,250.000000,220.500000,262.000000,20,19,-102.000000,780,60,39,1,0,0,
0,500,20,250.000000,221.000000,264.000000,20,20,-103.000000,800,60,40,1,0,0,
0,500,20,250.000000,221.000000,266.000000,20,20,-103.000000,800,60,40,0,0,0,
0,500,20,250.000000,221.500000,268.000000,20,20,-105.000000,800,60,40,0,0,0,
0,500,20,250.000000,221.500000,272.000000,20,20,-105.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.500000,276.000000,20,20,-102.000000,800,60,40,0,0,0,
0,500,20,250.000000,222.000000,279.000000,20,20,-98.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,280.000000,20,20,-96.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,280.000000,20,20,-94.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,280.000000,20,20,-92.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,280.000000,20,20,-90.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,279.000000,20,20,-88.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,280.000000,20,20,-86.000000,800,60,40,0,1,0,
0,500,20,250.000000,224.000000,280.000000,20,20,-84.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.500000,280.000000,20,20,-81.000000,800,60,40,0,1,0,
0,500,20,250.000000,224.500000,279.000000,20,20,-80.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.000000,280.000000,20,20,-77.000000,800,60,40,0,1,0,
0,500,20,250.000000,224.500000,279.000000,20,20,-74.000000,800,60,40,0,1,0,
0,500,20,250.000000,224.500000,280.000000,20,20,-71.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,279.000000,20,20,-67.000000,800,60,40,0,1,0,
0,500,20,250.000000,225.500000,279.000000,20,20,-62.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,279.000000,20,20,-59.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.000000,280.000000,20,20,-55.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,280.000000,20,20,-51.000000,800,60,40,0,1,0,
0,500,20,250.000000,227.000000,279.000000,20,20,-46.000000,800,60,40,0,1,0,
0,500,20,250.000000,227.000000,279.000000,20,20,-40.000000,800,60,40,0,1,0,
0,500,20,250.000000,227.500000,278.000000,20,20,-34.000000,800,60,40,0,1,0,
0,500,20,250.000000,227.500000,279.000000,20,20,-26.000000,800,60,40,0,1,0,
0,500,20,250.000000,227.000000,279.000000,20,20,-23.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,279.000000,20,20,-23.000000,800,60,40,0,1,0,
0,500,20,250.000000,227.500000,279.000000,20,20,-23.000000,800,60,40,0,1,0,
0,500,20,250.000000,227.000000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,227.000000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
0,500,20,250.000000,226.500000,279.000000,20,20,-24.000000,800,60,40,0,1,0,
